ST,STATE,STATE_NAME,CD,Mexico,World,Mex_share,Total Jobs 2018
FL,12,Florida,12,90962074.8,1918203280,0.047420456,513.3965981
FL,12,Florida,13,258612992.9,5195915408,0.049772364,1400.699426
FL,12,Florida,14,93751878.26,1765947940,0.053088699,538.7879625
FL,12,Florida,15,128850067.1,2206162314,0.058404618,615.3207083
FL,12,Florida,16,109359874.7,1681737454,0.065027912,656.1186847
FL,12,Florida,17,78459671.65,1156754737,0.067827405,399.7852485
FL,12,Florida,18,88144611.94,1570432266,0.056127611,518.5665947
FL,12,Florida,19,35651176.16,712952770,0.050004962,213.182292
FL,12,Florida,20,87854557.96,1959818275,0.04482791,459.8735921
FL,12,Florida,21,44584598.81,914393871.9,0.048758637,247.5941334
FL,12,Florida,22,127310897.3,2639947535,0.048224783,694.962111
FL,12,Florida,23,56175209.45,958335348.7,0.058617487,306.3807382
FL,12,Florida,24,99162738.42,1348017823,0.07356189,556.4582297
