state,district,NAICS4,Description,World,Mexico,Direct Jobs,Indirect Jobs,Total Jobs,Mex_Share
AK,AL,3365,Railroad Rolling Stock ,398711,0,0,0,0,0
AK,AL,3121,Beverages ,331059,14028,0,0,0,0.042373112
AK,AL,3334,HVAC & Refrigeration Equipment ,323124,110652,0,0,1,0.342444387
AK,AL,3315,Foundry Products,272536,0,0,0,0,0
AK,AL,1119,Misc. Crops ,241851,135560,1,0,1,0.560510397
AK,AL,3132,Fabrics ,241750,125017,0,0,1,0.517133402
AK,AL,3372,Office Furniture & Fixtures ,240297,15705,0,0,0,0.065356621
AK,AL,3231,Printed Matter & Related Products ,231484,10952,0,0,0,0.047312125
AK,AL,3149,Misc. Textile Products ,229209,4359,0,0,0,0.019017578
AK,AL,3362,Motor Vehicle Bodies & Trailers ,215673,46904,0,0,0,0.217477385
AK,AL,3219,Misc. Wood Products ,214285,114484,1,0,1,0.534260448
AK,AL,3327,"Bolts, Nuts & Misc. Turned Prods ",196131,117247,1,0,1,0.59779943
AK,AL,3371,Household & Institutional Furniture ,173214,29015,0,0,0,0.167509555
AK,AL,3222,Converted Paper Products ,171769,93794,0,0,1,0.546047308
AK,AL,3326,Springs & Wire Products ,167271,98926,0,0,1,0.591411542
AK,AL,3112,Grain & Oilseed Milling Products ,157802,54297,0,0,0,0.344083091
AK,AL,3152,Apparel ,137010,58080,0,0,1,0.423910663
AK,AL,3322,Cutlery & Handtools ,126074,8010,0,0,0,0.063534115
AK,AL,3369,Misc. Transportation Equipment ,117036,6375,0,0,0,0.054470419
AK,AL,3343,Audio & Video Equipment ,103931,36486,0,0,0,0.351059838
AK,AL,3113,Sugar & Confectionery Products ,96706,96706,0,0,1,1
AK,AL,3253,Pesticides & Fertilizers ,77645,77645,0,0,0,1
AK,AL,3272,Glass & Glass Products ,77607,42856,0,0,0,0.552218228
AK,AL,3111,Animal Foods ,77326,58437,0,0,0,0.755722525
AK,AL,3325,Hardware ,76705,3880,0,0,0,0.050583404
AK,AL,3133,Finished & Coated Textile Fabrics ,62874,54472,0,0,0,0.866367656
AK,AL,3212,"Veneer, Plywood & Engineered Wood ",62075,21750,0,0,0,0.350382602
AK,AL,3279,Misc. Nonmetallic Minerals ,61285,12890,0,0,0,0.210328792
AK,AL,1113,Fruits & Tree Nuts ,57546,57546,0,0,1,1
AK,AL,3118,Bakery & Tortilla Products ,54992,0,0,0,0,0
AK,AL,3351,Electric Lighting Equipment ,51737,47441,0,0,0,0.916964648
AK,AL,1112,Vegetables & Melons ,42332,9660,0,0,0,0.228196164
AK,AL,1123,Poultry & Eggs,40913,0,0,0,0,0
AK,AL,1132,Forestry Products ,17500,0,0,0,0,0
AK,AL,3312,Products from Purchased Steel ,13150,13150,0,0,0,1
AK,AL,3346,Magnetic & Optical Media ,13140,0,0,0,0,0
AK,AL,2123,Nonmetallic Minerals ,11857,0,0,0,0,0
AK,AL,1121,Cattle,10200,0,0,0,0,0
AK,AL,3141,Textile Furnishings ,8972,0,0,0,0,0
AK,AL,3151,Knit Apparel ,8552,0,0,0,0,0
AK,AL,3162,Footwear ,6969,0,0,0,0,0
AK,AL,3131,"Fibers, Yarns & Threads ",6659,0,0,0,0,0
AK,AL,3274,Lime & Gypsum Products ,5457,0,0,0,0,0
AK,AL,1125,Aquaculture ,2900,0,0,0,0,0
AK,AL,1111,Oilseeds & Grains ,0,0,0,0,0,0
AK,AL,1114,Greenhouse & Nursery Products,0,0,0,0,0,0
AK,AL,1124,"Sheep, Goats & Fine Animal Hair",0,0,0,0,0,0
AK,AL,2121,Coal & Petroleum Gases ,0,0,0,0,0,0
AK,AL,3115,Dairy Products ,0,0,0,0,0,0
AK,AL,3159,Apparel Accessories ,0,0,0,0,0,0
AK,AL,3161,Leather & Hide Tanning ,0,0,0,0,0,0
AK,AL,3273,Cement & Concrete Products ,0,0,0,0,0,0
AK,AL,3321,"Crowns, Closures & Seals ",0,0,0,0,0,0
AK,AL,3379,Furniture Related Products ,0,0,0,0,0,0
AK,AL,5112,Software ,0,0,0,0,0,0
AL,1,3251,Basic Chemicals ,1044961210,93342007,64,319,383,0.08932581
AL,1,3311,"Iron, Steel & Ferroalloys",404705518,271733989,220,1058,1278,0.671436333
AL,1,3364,Aerospace Products & Parts ,363261603,10921552,23,24,47,0.030065253
AL,1,3221,Pulp & Paperboard Mill Products ,183092590,29488058,36,112,149,0.161055442
AL,1,3252,Resins & Synthetic Fibers ,133604977,7310637,5,25,30,0.054718298
AL,1,3361,Motor Vehicles ,110404749,5959534,3,23,26,0.053978964
AL,1,3241,Petroleum & Coal Products ,89865189,5536287,1,8,9,0.06160658
AL,1,3336,Engines & Turbines ,76429756,36497610,64,135,199,0.477531421
AL,1,3313,Aluminum,37796446,25504400,52,90,142,0.674783021
AL,1,3211,Sawmill & Wood Products ,31480295,368601,1,2,3,0.011708944
AL,1,3253,Pesticides & Fertilizers ,27784058,1169658,1,3,4,0.04209817
AL,1,3341,Computer Equipment ,22678923,487063,2,1,3,0.021476461
AL,1,3339,Misc. General Purpose Machinery ,22226021,5145324,12,18,29,0.231500006
AL,1,3256,"Soaps, Cleaning Agents & Toiletries ",16032388,545705,1,1,2,0.034037662
AL,1,3255,"Paints, Coatings & Adhesives ",11708921,3342986,5,9,14,0.285507606
AL,1,3366,Ships & Boats ,10715129,100000,0,0,1,0.009332599
AL,1,1111,Oilseeds & Grains ,9122561,643565,4,2,7,0.070546527
AL,1,9100,Scrap Products ,6760788,2211256,0,0,0,0.32707075
AL,1,3324,"Boilers, Tanks & Containers ",6607781,1429365,4,5,8,0.216315432
AL,1,1133,Timber & Logs ,6413930,0,0,0,0,0
AL,1,3399,Misc. Manufactured Commodities ,6375313,1188510,4,5,9,0.186423788
AL,1,3314,Nonferrous Metal Products,5959051,274001,0,1,1,0.045980644
AL,1,3259,Misc. Chemical Preparations ,5945343,69124,0,0,0,0.011626579
AL,1,3331,Ag. & Construction Machinery ,5589404,491859,1,2,3,0.08799847
AL,1,3262,Rubber Products ,5003892,479116,2,2,3,0.095748669
AL,1,3149,Misc. Textile Products ,4946168,594248,2,2,4,0.120143109
AL,1,3391,Medical Equipment & Supplies ,4492053,119852,0,0,1,0.026680896
